rid,fear
167,"I would choose to eliminate attending parties where I hardly know anyone, or where people I know have not arrived yet. I can't stand the idea of standing alone, I feel awkward and don't know what to do with my hands and my usual stance feels clumsy. I can feel multiple people's eyes on me and they are burning holes in my skin. My face is flushed from embarrassment and I don't know where to look so my eyes dart around, desperately trying to not make eye contact with anyone, I cannot stand for them to pity me."
12,Being unable to drive to unfamiliar places limits where I can go and where I can take my children
152,"Experience uncomfortable/distressing health symptom --> Symptom worsens despite my attempts to mitigate it --> I have a panic attack/similar physically and mentally stressful episode --> I lose control, pass out or die as a result of the health event --> N/A --- Losing control, fainting, or dying as a result of an uncontrollable health event. --- My core threat makes me feel weak, vulnerable, out of control and helpless. It makes me feel that I can't live a happy or normal life."
80,"Public speaking, speaking to more than one on one. It affects me socially, academically and in the workplace."
35,"Police tell me of a family member's arrest --> Police arrive to inform me of an accident involving a family member --> Police tell me of the death of a family member --- A family member will have died --- The loss of a close family member would be devastating. Likely similar to a deep depression, feeling unbearably low and unable to function as normal"
138,I would be the odd one out --> I wouldn't have anyone to talk to --> I would feel like a burden --- Feeling as if I do not belong. Feeling like a burden. --- Being in  social setting even with family will make them feel as though they need to take care of me.
79,"I would trip over my words and make no sense --> I would faint --> People would get up and walk out as they would not find me interesting --> I would lose my train of thought and be unable to process where I was going with my point --> My body goes numb and I cannot feel my legs as I am speaking and I won't be able to leave the stage without falling over --- My core threat is that I will freeze. --- I fear speaking infront of people because I feel like I am not interesting and people don't really want to listen. I lose my train of thought and cannot speak, go numb and freeze. It affects me because I cannot go for jobs with presentations or meetings, cannot go to interactive social events, cannot enjoy certain social activities or interact in large groups as I am so flustered in my head that I can't keep up with the conversations and miss all cues."
150,"Embarrassing myself --> Falling over --> Not being able to speak --- Public speaking - Becoming embarrassed when talking to a group of people, in case they call be stupid, or ignore me, or I fall over (if I had to walk onto a stage) --- Not being able to voice my opinions when in a large group makes me feel sad that I'm not part of the conversation"
101,someone will ask about my relationship status --> they will bring up the fact that my ex is now married --> people will ask how i feel about my situation --> i will look like i have the worst situation compared to my friends as i'm the only one in this situation --> people will feel sorry for me --- my core threat is someone will feel sorry for me and think me/my life/my situation is pathetic --- If people felt sorry for me it would make me feel like my life is unideal and i would never be able to achieve the fulfilment and happiness that other people will experience.
66,The fear of talking to strangers. I spend a lot of my time avoiding situations where I will have to speak to strangers.
1,"Mum dying --> dealing with my brothers behaviour in the wake of that --> feeling guilty that I might not give my brother the support he needs, even though I may not be capable of it at the time --> n/a --> n/a --- having no one to support me when my mum dies --- I am worried that if I become ill that I wouldn't have anyone to look after me"
14,"For me, driving evokes the most anxiety. I am constantly worried about scratching the car, bumping it or being involved in an accident. I worry that other road users will judge me, because I may drive more cautiously or slowly than them. I worry about getting in the wrong lane and getting trapped going the wrong way, or not being able to park in a busy car park. When I'm driving, my hands sweat constantly, and I can feel sweat dripping down my back in the seat. My heart pounds and I have to try and take deep breaths and reassure myself I am fine, but I feel shaky and frightened."
21,"I will be in the same room as a spider --> I will be surprised by that spider appearing in my visual field quickly --> The spider will move towards me --> The spider will touch me or land on me. --> I'll have to actively touch the spider to make it move away from me. --- My core threat is that I will have to touch a spider to remove it from my space. --- I expect to be looked down on by people that I care about, because of my reaction. There is an expectation from others that I can do better, but I can't live up to it. In that moment, I embody the worst that people expect of me  and I'm not strong enough to change it."
68,I would eliminate the fear of dying
144,"I won't be able to head into the office for work --> I will let down my team at work --> I will produce poor and inefficient work --> I may be reprimanded --> I will get my team in trouble --- I will cause trouble for people I like, leading them to dislike me --- I would be annoying"
130,"Being judged --> Being laughed at --> Being hated --> Being bullied --> Being beaten --- Being hated and bullied. --- I will be judged and hated , bullied and beaten. I will feel worthless."
7,"There will be a change in routine --> without having my main comfort source --> This will evoke loneliness --> Which makes me think i am unlovable --> I fear I will die alone --- I am afraid that I have a change in routine by losing contact with someone I love and my main comfort source, my core threat is that I die alone --- I will not have a meaningful life if I have no one to share it with and to make memories with"
15,Mental problems --> Being put in a psychiatric hospital --> My brain would feel as if it would explode --> Being alone --> Walking around talking gibberish --- Because of my bad thoughts I am scared that one day I will not be able to control them at all and I will live in fearI --- It is a fear that I cannot control my thoughts and I cannot erase them
120,Presenting a project we're given to the entire auditorium alone. With no group members or anything.
57,"I'll be trapped in a very busy place --> Something will happen that causes panic --> A crush will develop and people will not be able to get out --> I will not be able to reach safety --> People and/or myself will die --- My core threat is death, my own and other people's. Having experienced this scenario, I am very precise about this. --- The threat of dying is a pretty universal one, so should be easily understood. It's personally meaningful to me as I was present at the Hillsborough football disaster in 1989, so my fear stems from actually experiencing the scenario I have described."
8,I have most stress evoked when starting over and do something which disrupts my routine and what I am used to. I have just had my 5 and a half year relationship come to the end. So I have had to move out in with other new people. Whilst not having my main comfort source which is my ex
44,Speaking in public
9,People would think I am stupid --> People would pity me --> People would pity my partner for making such a poor choice. --> People would talk about me and laugh --> People would want to avoid me in the future --- People will realise I am not the person they thought I was and will avoid me in the future and leave me on my own. --- I don't want to be left on my own with nobody wanting to spend time with me
30,I would chose to eliminate my fear and anxiety about things I am unsure of because this limits how much I can and can't do. I would love to feel calmer and more in control in these scenarios
82,I think social situations where there are large groups of people I don't know has the most negative impact on my life.
143,Fear of failure.
164,"I can't see how to get out of a place that is busy --> i could get trapped in the room than longer than i expected --> there will be a crisis event, fire, gunman and i cannot escape --> none --> none --- being unable to escape during a crisis situation. --- It would make me feel very scared and useless."
16,The fear that if I have a bad thought then it will happen. I would want to not have these thoughts
65,I will encounter an aggressive person --> People will look at me --> I will embarrass myself --> I won't be able to get the information I needed --> I won't be able to say what I wanted to say if someone speaks to me --- My core threat is that I will humiliate myself in public and this will lead to me replaying the situation over and over again in my head. --- It affects me by making me feel less of a person than everyone else. I start to feel as though I don't fit in and never will.
37,"Don't go to the doctor with small issues. --> Anxiety leads to stress and illness. --> Condition becomes untreatable --> I could have saved myself --> I let down my family. I'm a failure. --- Like Dianne ultimately I'm afraid of dying, not being dead, but dying. Feeling vulnerable, being sick, suffering, not having control. --- I want my loved ones to be happy and I don't want them to feel pain. But yet I don't do the things I should to prevent it.  I don't want our lives to end. My fears are existential, it's the human condition I suppose."
33,"I would have to explain to my family that I am unemployed and have no hope for the future --> I will be forced into another dead end job that I hate --> That I will be unemployed for so long that not only will I end up with a job that I hate, but I will never be able to afford to retire --> That I'll never have any happiness in my life - all I have to look forward to is misery without anything good --> na --- My core threat is that I will either remain unemployed forever, or worse, find myself forced into a job that I hate. --- For years I was forced to work a job that I hated. It was stressful and emotionally draining, but also I wasn't at all suited to that kind of work, and everybody at work knew this, which meant that I had no chance of ever having a career or even being able to support myself. I felt trapped in this job - my mother told me that because I have a degree in this subject that I have to do this job and I have no choice. Ever since then I've been terrified of working in case I end up in the same situation again, but I am also terrified of not working and being unemployed forever."
116,Eliminate the fear of other people in large groups
158,The information that has auto filled above it not the answer i gave to what my biggest fear is - my actual answer was my child being ill or injured --> My child being so seriously ill or injured that they are left needing to receive hospital treatment --> my child dying --- My child dying --- My children are the centre of my life and to loose them would mean I no longer had a life worth living
40,I would eliminate having to speak in public as I find having to do so makes me feel incredibly vulnerable and self conscious
126,fear of loved ones dying or becoming unwell
106,My fear and anxiety mostly relates to my family. I am scared because my mother is ill and my father is caring for her and he cannot cope. I am scared of them both getting worse and I feel anxious about this a lot.
112,Fear of travelling in a car
96,speaking to women
83,"I will not know what to talk about --> People will realise I am not very smart or interesting --> People will value me less if they get to know me --> NR --> NR --- People will think badly of me and not respect me --- Being worried that people will not like or respect me makes it hard for me to interact with people, which is a self-fulfilling prophecy as people will then not learn about me or think I am weird/not worthy of their time."
119,I will stutter and choke on my words and my peers will laugh at me. --> I am very reserved and always quiet so presenting to a class of students will put me on the spot and will make everyone form their opinion on me and judge me. --> It will make me feel vulnerable and naked. --> ...... --> ...... --- My core threat is that I will not be able to articulate myself properly and thus setting myself up for being mocked and rejected by my fellow peers. --- It makes me feel small and unable to stand up for myself in spaces that matter. It makes me feel like I don't stand a chance at being successful because I can't speak for myself. I prefer to shut up.
151,"Public speaking - If i could get over the anxiety of speaking in public, I wouldn't be afraid to speak up when i disagree with something."
27,"Getting delayed on the way and being late for the interview --> Feeling unwell waiting outside the interview room due to nerves and stress --> Wanting to go to the toilet before or during the interview --> Forgetting what to say in the interview and mind going blank --> Feeling embarrassed about doing badly in the interview and not getting the job --- Doing badly at a job interview and not getting the job, meaning being out of work for longer. --- Having been out of work for a long time it would make me feel like a failure if I did badly at interviews, meaning I would lose confidence and be out of work for even longer."
43,being humiliated --> being judged for the way I speak --> being judged for my ideas --> not being able to speak in public again if it al went wrong --> na --- The fact that I could humiliate myself and this would impact on me being able to ever speak in public again and make the whole thing even worse. I am fearful of being criticized and judged too. --- I am a failure
41,"Applying for a job (knowing an interview will follow) --> Attending a job interview --> Being unprepared for the job interview --> Being unable to answer the question, or saying something stupid --> Everyone laughing at me --- Ultimately I worry that people will judge me as being stupid or no good, and that will lead to a situation where they are laughing at me. --- I won't end up progressing in my career because I will avoid job interviews"
4,Social situations with people i dont know well makes me clam up and i am worried that they will think im awkward or weird and i struggle to get out my words coherently
161,The thought of a fire with devastating consequences
78,social anxirty
136,feeling ill and heart pounding so much --> not being able to speak clearly stuttering resulting in me not being able to do it failure --> people feeling negative towards me rejection --> na --> na --- people thinking bad of me rejecting me --- I am not good enough
115,Storms
95,"she would reject me --> she would think less of me --> I would dwell on my self-doubts --> We might get on well and my whole could change as we get closer together --> she would make fun of me --- My core threat I think is that we might actually bond together more than I ever thought possible, and my life as I have known it all this time, will change and change quickly, even though it would be for the good. --- I'm not strong enough"
166,"I have no one to talk to when everyone else is talking --> I'm alone and everyone can see it --> no one like me --> I'm worthless, a nothing --> nothing --- I'm a worthless person and no one likes me --- If I'm alone at a party and no one wants to talk to me, it means nothing I say is of any interest to anyone else, I'm worthless and a failure and nobody likes me."
128,Talk to people of power or someone who would find me of lower intellect
100,feeling anxious socially
73,not seeing her as much --> her not being so close --> shorter visits due to the travel time --> not as easy to help her --> worry in case one of us is ill the distance between us --- I am afraid if my daughter moves away we will not have the same relationship we have now --- My daughter is everything to me we are so close so to not have that closeness is an unbearable thought
23,Some one will harm family --> The Family stress will last for long --> my assets will be stolen --> I will not be able to sleep --> Nothing --- My Family will get hurt and it will take long time to recover from the stress --- I want to sleep and be feel fresh in the day. being tired is worrying me
154,"The spider would run at me --> The spider would jump on me --> I would lose the spider in my clothes --> I would be unable to find it or get it off --> . --- I dont really know. I know logically that they cant hurt me but the illogical fear overwhelms everything when I am in that scenario. --- I am aware it is illogical and they cannot actually do anything to me, however that is all forgotten about when I see a spider, especially the bigger ones that can appear from nowhere and can run in all directions, the unpredictability of then is awful. Even pictures make me feel uncomfortable"
28,"Going for a job interview, from the moment of leaving the house and travelling on the train, to waiting outside the interview room, and the interview itself."
137,public speaking
99,"I will be awkward socially, making an inappropriate or insensitive comment that people think is weird. --> People will reject me and I won't get a job/friends/be socially accepted. --> My husband won't want to be with someone who is so friendless and awkward, and can't achieve basic things. --> It will damage my children to have an awkward failure of a mum. --> n/a --- My core threat is that I will damage and fail the people I love most because I can't fit in. --- I worry that my poor social skills and social awkwardness will cause me to embarrass myself, and that will let down my family and fail them. I just love my husband and daughters so much and I wish I was better for them."
62,Fear that all dogs will attack me
123,Made to look incompetent --> Being talked about at work --> Losing my job --> Having no money --> unable to pay bills --- Core threat worried about my financial security --- Been through bad times before and the worry causes me anxiety and stress
149,When I am in front of many people and I have to speak or recite something.
64,I fear to seeing the ones I love getting hurt.
71,I don't know what I need to do next --> I cannot take care other family members --> I cannot stop blaming myself --- regret for not doing good enough to take care of my family --- I am not a good person. I am responsible for it.
118,"I got someone pregnant when younger and never told my own parents, or close friends. If I could, I would remove this aspect from my life."
61,I lose friends because I cannot be near their dogs --> I lose my husband because he becomes frustrated at the limitations my fear and avoidance of dogs puts on our life --> I am attacked and injured by a dog --> I am attacked and killed by a dog --> N/A --- My fear of dogs either results in the loss of relationships or I am actually physically attacked by a dog as they sense my vulnerability. --- I cannot walk outdoors freely without my husband or someone to protect from dogs off leashes.  I fear being rejected by others who love their dogs as I feel that they are a dangerous threat.
162,someone came in with a gun and robbed my family --> He decided he wanted more then money and then sexually assaulted me in front of my kids --> He murders everyone he sees in the place including my kids. --> n/a --> n/a --- My core threat is not protecting my family from the uncertainty of the world with bad people in it. --- I am always worried about safety of my kids and it affects me in way that I am scared they will die and I dont know if I could live without them If I did something to cause them harm or didnt protect them . It is meaningful to me because they are my family and love them .
59,"having to speak in public --> sounding silly or people thinking I'm nervous and can't speak well --> being embarrassed seeing those people again --> climate change leading to a breakdown of society, and unbearable suffering and death --> the covid pandemic continuing to be ignored, and lots of people developing long term health problems or dying, when it could have been prevented --- My core threat with public speaking is being embarrassed and making a fool of myself.  My core threat with the covid pandemic and climate breakdown is people suffering or dying. --- I think my main worries about covid and climate change, are that my children are not going to have the future that I thought they would have.  People are not going to live as long or be as healthy, and lives will be less comfortable, and I feel very sad when I think that my children will not have the future that I had hoped for them when they were born.  I also get angry with those in charge, because they could fix the situation and make it OK, but they don't want to do that, and there is nothing that I can do as an individual to make things better.  My public speaking fears are less relevant as they aren't really a massive issue, but it is meaningful to me as I like people to think well of me, so I don't want people to think that I'm not good at public speaking or that I look silly as I might get sweaty or red faced."
159,Sometimes I voice the worst case scenarios in a situation in hopes that it means they will not happen
36,I would eliminate the possibility of the police arriving at my door with bad news.
26,having to talk to strangers people i do not know i would choose to eleiminate this one .
132,"my son or grandchildren become ill --> and an ambulance is necessary --> They are critically ill --> The Drs are unable to save them --> i cannot cope with life --- my son died from a brain hamorragh, undiagnosed weakness in an artery,     We were made aware that this can run in families, so always at the back of my mind is the fact that it could happen again.      A simple headache could be the start of this. --- Imagine going to work one day and leaving your very fit, sporty, child at home.    Now imagine coming home and finding them dead on the floor, with no outward signs of injury.   Think how you would feel in that situation"
155,"I would eliminate my fear of spiders. Everything about them makes me feel uncomfortable. I hate how fast they move and in any direction, they can appear anywhere at any time, there is no where to get away from them. I even feel anxious going into an area where there may be spiders (i.e. shed or garage)"
5,"That I didn't matter --> That I might be mistreated in some way if I was helpless --> That nobody cared --> That I was alone --> Being vulnerable --- I am afraid of being alone when old and frail (If I live that long) and that I will be unable to fend for myself if things are beyond my control. I worry that nobody will care enough to look after me. I think the core threat is that I fear loneliness. --- Loneliness makes me feel unwanted - always the 'outsider looking in' - and not a part of a group, however small it may be.  It is isolating and depressing, I have a partner and friends yet still feel lonely."
92,The inability to speak in public and the fear of being focused on and letting my anxiety take over and humiliating myself
25,my words will get jumbled --> i will go red --> i will be mocked by the stranger --> the starnger could be a dangerous person --> they are dangerous and will hurt me --- my core threat is that the starnger will be dangerous and hurt me --- I will be hurt either physically or emotionally . I get hot sweaty and panic
171,When a lot of people are paying attention to me.
156,I will feel nervous --> I will overheat and not be able to think clearly --> I will cry and have a panic attack --> I will get dizzy pass out --> I will die --- I will feel trapped and think the walls are closing in on me.  I will never see my children again. --- When I was younger I was playing outside during school recess.  All the kids thought it would be funny if they made a pile by jumping on each other.  I was at the bottom of the pile and I could not move or breath.  I will never forget that moment and I feel that is what causes me my issues with claustrophobia.
11,Driving in an unfamiliar area --> I will get lost --> I will panic and cry in front of my kids --> My kids will think I’m stupid --> I have people thinking I’m stupid --- That people will think I’m stupid --- I’ve always been the “smart one” so being laughed at for acting stupidly makes me feel worthless
