rid,fear
142,"Feel like I have disappointed my family. --> Not amount to anything in life. --> Fail to provide for my family. --> Not reaching my full potential. --> Live life with regrets --- My core threat is the fear of failure, I want to be able to provide for my family and for them to acknowledge and be proud of my achievements. --- Fear of not achieving your greatest desires,"
145,"When I need to wake up early for work and find myself unable to sleep, spiking my anxiety levels so I feel even more unable to fall asleep."
42,Attending a job interview and embarrassing myself
124,public speaking
77,"Social anxiety --> Unease around strangers especially men --> I will be sexually assaulted --> I will have low self esteem --> I will have anxiety --- My core threat is I will be sexually assaulted again. (This has happened to me twice already) --- I have had previous experiences of sexual assault, therefore I am wary of men, avoid some social situations, have developed a more introvert personality and therefore sometimes miss out on having fun."
19,"Someone will confront me in public --> People/colleagues will turn around and watch the confrontation, which will be embarrassing --> People/colleagues will gossip behind my back about the confrontation, and this will give me a bad reputation --> Due to the bad reputation, I will lose job opportunities. --> My career will be ruined --- I am afraid of obtaining a bad reputation, which would result in the loss of job opportunities and ultimately, a damaged or ruined career. Career ruination is my core threat. --- For me, having a ruined career means that all the effort I put in didn't amount to anything. I will have wasted a lot of energy and time, which I won't be able to get back. I would feel like a failure."
67,"I will experience severe pain --> I won't be able to see my family again --> Everything will cease to exist --- Unfortunately, it seems my fear was actually a core fear which in fact was dying. However, it can be said that being in a vegetative state or a coma would have similar consequences. So the inability to experience life and having everything I know cease to exist can be said to be the core fear. --- I think everyone can relate to that fear."
127,I say the wrong thing or make the wrong remark --> Individual sees me as being stupid or unintelligent --> I start tripping over my words in fear of not making any sense. --> That person will think less of me --> na --- My core threat is knowing that other will view me as incompetent. --- My core threat is feeling incompetent.
134,"I have to make a phone call --> I will say the wrong thing. --> I will make a fool of myself --> I will not find out what I need to know or get what I need. --> This will mess up my life --- That i will make a fool of myself and nobody will like me. --- I have experienced rejection and bullying in the past, and I am worried that it will happen again,"
70,"Thoughts of losing my family, particularly in a way where they are physically harmed and suffer prior to it happening, e.g. car accidents"
129,social anxiety
131,New situation
104,Driving in unkwown areas
54,I would love to be able to go out and socialise feeling calm and confident to talk to people without needing to have a drink first to help my nerves.
34,"I'm terrified to have to talk to family, especially my Aunts, Uncles and cousins. I fear having to explain to them how little I've accomplished and that I haven't been able to achieve anything in my life."
157,I would eliminate being claustrophobic.
105,My mother is ill --> My mother will get worse --> My father will get ill too --> I will lose them --- I will lose my family --- Because I'm most scared of losing my loved ones.
147,Worrying about germs.
48,I would eliminate the fear of being in crowded places.
88,"My self loathe - hard to describe, just something I experience often."
153,"Remove frequency/intensity of health events. I have medical conditions which affect my autoimmune system and cause frequent faintness, fast heart, dizziness, headaches, breathlessness, tiredness and distress. I'd eliminate these effects if I could"
168,The health of the person getting worse --> Not being able to help them --> Finding out to prepare for the worse case --> waking up with that person no longer in my life --> Feeling empty without that person --- Fear of abandonment or being lonely. --- Loosing a friend or family makes me feel like ive become more alone in this world.
160,a fire will start in my home --> i wont be able to stop it --> the smoke takes over and my family are trapped --> we all die --> end --- My core threat is that my family will die --- my family are my world and I would not want to be here without them
135,Having to make phone calls
163,I would choose to stop looking for ways to escape everywhere because I feel like something bad will happen when I am in public so I need an escape plan.
94,The fear of something bad happening to my children or other family members. I imagine scenarios like them falling from a height or other equally terrible things and it makes me panic and stress about things that probably won't ever happen. I hate the feelings I get when I have these intrusive thoughts. I would remove these. Although I sometimes think it helps me in a way as I would never put my children in harms way and thinking these things can help you protect your children more
117,"My parents find out --> They would be very sad and disappointed me --> Out relationship would likely never be the same --> They could try to force a relationship to start with the child, which I do not want --> I could loose all relationship with my family because of it --- That I could destroy the relationship with my family and be alone --- I already do not have many close people in my life and would be scared of being completely alone."
90,Being trapped in a confined space with no exit
31,IF THIS DOES NOT HAPPEN I WILL BE IN A MESS --> HOW WILL I COPE --> WHAT A PROBLEM --> IT WILL BE DIFFICULT --> IT WILL BE AWFUL --- MY CORE THREAT IS NOT BEING ABLE TO DEAL WITH MY DEBTS --- IT CONSTANTLY WORRIES ME
98,The going out with friends one
17,I will be the focus of attention and have a panic attack --> People will judge me and view negatively or as weak --> People will avoid getting into a similar situation with me as it will be awkward --> I will feel worthless and rejected --> I will feel humiliated --- My core threat is being humiliated socially --- Feeling humiliated in front of work colleagues
10,"Parties, I could avoid thinking about having to talk to people who think I am stupid , i would not need to worry about getting tipsy to get me through the event but worrying that would make me more likely to say something wrong."
51,"Going to any event involving many people, particularly people I don't know --> I will know for certain that some of those people find me in the wrong. I'll hear someone say something critical of me. --> I will be exposed as the outsider I really am, undeserving of friends or loved ones. --> My loved ones will see that I'm undeserving and wrong. --> I will lose my loved ones. --- My core threat is that I will lose my loved ones. They won't want to have anything to do with me. --- Being exposed as an unwanted outsider makes me think there would be no place for me in normal life, but worse than that would be losing my loved ones."
121,Fear of my family dying --> Fear of having no one to turn to for help or comfort --> Fear of helplessness --> Fear of being alone --> Fear of death --- My core threat is the idea of death and being separated from my family. The unknown and how my loved ones would cope. --- The unknown of death and seperation
18,"Talking with numerous colleagues at work, and a silence descends and all eyes bear down on me as I have to recount a story, or an instruction for instance."
49,"Feelings of worthlessness and inadequacy. --> Stress causing me to be unable to express my views clearly and concisely. --> Conflict arising between us. --> Her reactions, usually being one of telling others that I caused problems by not doing what she wanted. --> Other relatives believing all she says. --- The thought that other people will believe everything negative said about me and judge me accordingly, especially when untrue things are stated. --- I have high personal standards regarding the fulfilling of promises. Once a promise is made, I will keep it even if there are personal and/or financial implications. For someone to claim that I did not keep a promise, when in fact I had, is very stressful, especially if that person tells others that I broke my promise."
45,People look at me as I enter alone --> I feel anxious that I can't see people I am meeting --> I feel people will be laughing at me stood on my own --> na --> na --- My core threat is people watching me as I am alone and the though if being stood up --- I feel physically sick at the though of having to go somewhere on my own and meet someone/people.
141,Public speaking
91,"People would see I am not confident and question my authority --> i would look foolish and silly --> I would be a figure of fun, standing blushing and stammering --> I would not be able to progress or be taken seriously --> I would feel like a fake --- That I pretend to be confident but I am very uncomfortable being the centre of attention --- I appear to be confident and organsied and I AM but I have no confidence to speak infront of a crowd and this makes me look silly and I am underestimated."
58,Being in a place that is very busy
122,Fear of family dying
29,I don't know what will happen and that scares me --> i want to be in control of external factors so that I feel safe --> I need to make myself safe to stop the feelings of fear and terror I had as a child. I am scared those things will happen again and I will be out of control and hurt --> I am scared I will be abused again and want to try to control things outside to stop it happening --> I am terrified and need to escape. I will dissociate from it all and not be here --- That I will feel out of control and unable to change the situation that is happening to me in the same way that I could not do it as a child when I was being sexually abused. --- It is the fear of not being in control and unable to change the external circumstances when I feel threatened or unable to get out of my surroundings. The core fear is from when I was sexually abused as a child and the terror I felt then & I am scared of feeling that again and being out of control so I need to make myself safe
38,"The health anxiety is a problem, because it could have serious consequences."
13,I will scrape the car and my boyfriend (who owns the car) will be angry at me. --> Other drivers will be angry and beep their horns at me or swear at me. --> I will be physically injured or killed in a car accident. --> I will injure or kill someone else when driving because I do not feel in control of the car. --> I will freeze and not know what to do in the car. --- My core threat is that I will injure or even kill someone else when driving because I won't be in control of the car --- I will be a truly bad person who did something awful
114,Iwould have my family member not be addicted to drugs
169,"The Hospitalisation of family members or friends, seeing them suffer or in pain is a situation that stresses me out the most out of anything in the world."
102,dealing with a breakup
2,thinking about if my mum died and I had to cope with my brothers behavior on top on that
84,Talking to people I have just met.
85,Receiving results/ exams --> I will do poorly in exams --> People will think poorly of me --> I will fail/ not get a job --> I will disappoint my parents and my community --- My core threat is that I will be unsuccessful in life --- My parents would be disappointed in me
24,Keep the Alarms and the CCTV On
170,I will say something humiliating --> Everyone will talk about what I said --> People will never forget what I said --> I will be treated differently or mocked --> I will feel vulnerable and exposed --- I think my core threat is feeling exposed and vulnerable and extremely self conscious --- I feel like my privacy is invaded. I would feel exposed. I would feel unsafe and vulnerable.
113,Family split up --> Victims of violence --> Financial disaster --> Na --> Na --- Disaster by splitting up family --- My grandchildren might be taken away from their mother
86,Exams/ receiving results
56,Low self esteem on how I look and my self worth being tied to men I like
39,"Speaking in public --> My voice would be squeaky and uncertain --> I would lose the thread of what I wanted to say --> People would think I am pathetic and feel sorry for me --> I will lose everyone's respect --- My core threat is being laughed at or felt sorry for and people losing respect for me --- I feel that if I messed up while speaking in public, people would feel sorry for me and lose respect for me which would be devastating"
3,"That they will think I'm awkward and odd --> They will tell people I'm friends with well and they will think I'm weird too --> I will end up with no friends and be alone forever --> Na --> Na --- I will lose all my good relationships with friends I like and be alone forever --- It makes me feel sad and worthless as a person, I feel inadequate and an outsider in society"
72,dying alone myself. family member dying alone.
103,Running out of fuel --> No fuel station nearby --> Being attacted  by gangs --> N/a --> N/a --- Being lost in the dark in an unknown area and driving around with no one ask for assitance Running out of fuel could be a problem and service stations may be closed --- Driving  I feel most drivers get anxious when they get lost  For me it was ridicule in the past about having no sense of direction but  age  also plays a part as i have lost confidence and dark unknown areas frighten me as we were once targeted by throwing stones and the window smashed  It was scary
69,"My family will die a painful death --> I won't be able to do anything to prevent it --> I am useless at taking proper care of my family --> I will end up alone --- My core threat is that I will end up alone because I have not been able to protect and care for my family --- Being so consumed by grief that I was unable to complete basic tasks and become a worthless, non-functioning member of society, missing out on all the things I previously enjoyed and rendering my life meaningless"
148,Being called upon to recite in front of an audience --> making the walk to the 'stage' --> the silence between taking a seat and speaking --> finally reciting but stuttering really bad --> when i finish and everyone knows that I have just embarrassed myself --- My core threat is public embarrassment due to having a stutter. --- Trying to hide a stammer for years by saying synonyms instead of the actual word because you will feel embarrassed by stuttering mid conversation or even in public speaking.
53,"someone talking to me and I have no answer --> someone trying to speak to me and everyone looks at me the attention is too much --> I am not able to get out of the room of people --> I look stupid in front of everyone --> I would get hot and sweaty and red in the face and my heart would beat so fast I may faint --- My core threat is I will look stupid and uninteresting to other people, like someone with no personality. --- My core threat is looking stupid and worthless as if I am unable to do anything in life, I am an embarecement to my family and they have to do everything for me, I am a burden on them, it makes social life very difficult and my being able to cope with anything in life on my own. I always need someone with me to help me through life and to do things for me. I feel bad that I am useless to my family and always need reassurance especially in social situations when other people can see me."
110,"Having to walk into the staff room and face all the people already sitting there, and not knowing where to sit, or who to talk to."
74,my daughter moving away
139,Social gatherings of any kind
93,one of my family members gets hurt --> one of my family members gets paralysed --> one of my family members gets fatally injured --> N/A --> N/A --- My core threat is losing someone close to me that I love and having to deal with the grief and the aftermath especially in a way that could be prevented. --- I fear I will not be able to cope or live with the grief of losing someone I love. It's the worst fear to think you may lose someone you love and the guilt of thinking of it is also difficult
140,I won't do it well --> I will look stupid --> It will ruin my career --- I will look stupid in front of people whose opinion of me I care about --- I will feel inadequate
47,"I might be killed --> i might slip and fall --> i might be laughed at --> i might be ridiculed --> I might not be able to hold up well --- my core threat is that i would be ridiculed and laughed about everywhere by people. --- my core. threat is about me getting laughed at and ridiculed out there, this affects me because i am a really shy person and would not want to be laughed at"
109,"I trip or otherwise appear clumsy and awkward. --> I don't know who to sit next to, or that no one wants me to sit next to them --> I sit down and am unable to start a conversation with the person next to me --> I appear boring to others --> Other talk about me and say how boring/ clumsy/ incapable I am --- My core threat is that others will judge me as being incapable and therefore unsuited to my job. --- My core threat affects me because it's very important to me to be accepted and liked by others, and i am concious that i am often unable to fully allow this to happen."
52,"There are many worse things but the most disabling in everyday life for me is social situations. I expect to be in the wrong place, unwanted, have expectations that I can't fulfill, that I will be hated, that people will consider me ridiculous or wrong or even offensive, that I will say or do the wrong thing, that I will upset people or revolt them."
165,room without clear exit
87,"The concept of myself --> Thinking deeper into why I am flawed --> Repeating the cycle of why I'm flawed, therefore making me more worthless --> Coming to a conclusion that I am indeed unworthy of love or attention --- My core threat is being unloved by everyone around me, and consequently alone. --- As mentioned, the fear of being alone is something that I'm sure everyone can understand being an issue."
50,Avoid meeting my sister-in-law in order not to feel controlled or devalued. The thought of avoiding her presents anxiety on its own but actually meeting her causes more stress.
146,"Germs will be on my clothes, hands or dishes, --> Germs will contaminate myself or my loved ones. --> My loved ones or  myself will die from these germs. --> I feel I would be responsible for someone I love getting sick or dying. --> I feel I would be responsible for someone I love getting sick. --- I feel that I could die if I get a disease transmitted from someone else through not washing my hands and clothes over and over again. I feel I could get very sick if my clothes and hands aren't discarded of all germs.  Most of all, I feel I could be responsible for one of my children getting sick or dying because of germs I didn't get rid off. --- I will cause harm or death to my children."
46,I wish I would feel no anxiety if I have to go somewhere on my own. It literally makes me feel sick and I will avoid certain situations because of it.
20,Bumping into someone who doesn't like me
81,I walk into a room full of people at a party/disco on my own. There are people I know there from work but they are all friends with someone else there. --> Everyone is talking to someone and I don't know where to go or who to speak to. --> Everyone gets up to dance and I hate dancing and feel anxious and self conscious as I feel I'll be stared at if I dance or look off if I don't. --> I get up to dance and feel excruciatingly embarrassed --> n/a --- That I will make a fool of myself in front of lots of people and be made fun of. --- It prevents me from going to some social events because of the fear of anxiety during some social events.
75,Being away from home without the reassurance of knowing I could get comfort if I became unwell. --> I would panic and experience further pain and discomfort --> I would not be able to tolerate the pain and distress --> The pain wouldn't stop --> I would not cope --- My core threat is that I will be alone in a situation where I experience unbearable pain. --- I don't think anybody wants to experience unbearable pain but I suppose I spend more time thinking about trying to avoid pain than most other people.
60,"This is difficult for me to answer, as what I want to elimate is populist politics that is damaging our democracy and causing me to worry about the lack of response to climate change and the covid pandemic, but that is not a situation.  I think public speaking would be more relevant to the question you are asking, so I'll choose that.  It isn't a massive issue for me because I just avoid it and I don't feel that I miss out because of it, but I think it would be quite nice to have the confidence to speak in public, not necessarily to give presentations, but just to be able to speak out when in a big group meeting or similar, as I wouldn't currently speak even if I had something that I wanted to say.  I don't speak because I get sweaty and nervous, and worry that I won't be heard or listened to, as I hate being the centre of attention."
97,I sit there awkardly --> Everyone else is having a good time and I am not --> My friends that I know become friends with the other friends we don't know --> They all become good friends and start going out and doing stuff together --> I don't get invited and lose my friends and become lonely. --- That I will be lonely and have no friends --- I'll always be a loner
133,The fear of losing my other son or one of my grandchildren
108,fear of doing things alone
63,Getting caught in a bomb explosion with family getting hurt --> Getting bit by a venomous animal --> Getting stabbed multiple times by someone --> Getting caught with a terrible car accident with parents --> Member of family getting struck with an terminal illness --- Getting hurt in a very painful and slow manner. --- Getting hurt in a very painful and slow manner. Because I would suffer for a very long time.
32,I WOULD ELIMINATE MY LOW INCOME AND MY DEBTS
125,a family member will become unwell --> they will be in pain that I cannot help with --> they will die --- My core threat is losing someone I love --- I feel I could die from the emotional pain of losing someone I love
22,I would eliminate ever having to encounter a spider again.
55,I would have confirmation that I am ugly --> Rejection --> being unloveable --> How my dad was with me is how all men see me --> i am worthless --- Rejection and confirmation of the low self worth I have of myself that I got from how my dad treated me --- makes me feel worthless and unloved/unloveable
107,i might get lost and not know how to get back --> someone might try to hurt me --> i wont be able to defend myself --> i will die/be severely injured --> my parents may blame me for going out alone --- my core threat i guess is my parents blaming me for something bad happening to me instead of supporting me. --- my parents approval is important to me however much i try to not care
76,Being away from home without the reassurance of knowing I could get comfort if I became unwell.
111,"car will crash --> others injured our mistake --> my family injured --> death --> living after death of family --- That my family will die and they are my sole reason for living. --- Every time I sit in the car I have a level of anxiety. I don't drive, my husband is careful but I still panic in traffic, overtaking, at night, in the rain.. I am an awful passenger and I feel guilty that my husband has to drive knowing that I am having a silent meltdown beside him."
89,"I won't be able to escape and nobody will know I am there --> I will hurt myself trying to escape and there will be nobody to help me --> I will die whilst trapped and will die alone --> x --> x --- I won't be able to get out of where I am trapped and nobody will know I am there, and therefore I will die --- I cannot go into a lift, and will always use the stairs. This is inconvenient at times and I feel like other people don't understand my fear"
6,"Loneliness - the 'feeling left out' mentioned above. It is one of the few things - if not the thing - that truly bothers me. I am a loner and enjoy my own company but still feel lonely a lot of the time. I think it's a need for companionship, of being 'cared for'. I don't propose that I be surrounded by people all the time, just a sense of knowing that someone is there should I need them."
